customer_id,tier,mrr,start_date,churn_date,churned,payment_failures,feature_usage_score
cus_1000,Starter,29,2024-02-24,,False,2.0,4.8
cus_1001,Enterprise,299,2023-12-14,,False,0.0,8.8
cus_1002,Enterprise,299,2024-03-29,,False,3.0,4.5
cus_1003,Growth,79,2023-06-19,,False,0.0,7.3
cus_1004,Growth,79,2023-11-13,,False,0.0,6.4
cus_1005,Starter,29,2023-03-29,2024-03-09,True,3.0,2.8
cus_1006,Growth,79,2023-02-24,,False,1.0,8.7
cus_1007,Growth,79,2024-05-02,,False,1.0,7.6
cus_1008,Starter,29,2024-06-28,2024-08-06,True,1.0,3.8
cus_1009,Starter,29,2023-07-30,2024-08-24,True,2.0,2.3
cus_1010,Growth,79,2024-03-30,2025-01-27,True,1.0,3.3
cus_1011,Growth,79,2024-02-16,,False,0.0,6.8
cus_1012,Starter,29,2023-01-24,2023-05-26,True,5.0,3.4
cus_1013,Starter,29,2024-06-24,2024-12-02,True,4.0,2.1
cus_1014,Starter,29,2023-04-12,,False,0.0,9.6
cus_1015,Starter,29,2023-07-07,2023-09-20,True,1.0,4.1
cus_1016,Starter,29,2024-02-22,,False,0.0,4.4
cus_1017,Starter,29,2023-11-30,2024-12-29,True,1.0,4.8
cus_1018,Starter,29,2024-02-04,2024-05-16,True,1.0,5.3
cus_1019,Starter,29,2023-11-28,2025-04-23,True,1.0,4.2
cus_1020,Growth,79,2023-05-04,2023-10-03,True,1.0,4.1
cus_1021,Growth,79,2023-08-31,,False,0.0,4.7
cus_1022,Growth,79,2024-01-30,,False,0.0,8.1
cus_1023,Starter,29,2023-11-22,,False,2.0,7.5
cus_1024,Starter,29,2024-05-10,2025-04-29,True,0.0,4.6
cus_1025,Starter,29,2023-01-20,2024-06-26,True,0.0,4.6
cus_1026,Growth,79,2023-04-14,,False,0.0,5.5
cus_1027,Growth,79,2023-05-09,,False,1.0,9.1
cus_1028,Starter,29,2023-03-27,,False,0.0,8.3
cus_1029,Growth,79,2023-05-26,,False,1.0,6.1
cus_1030,Enterprise,299,2023-09-09,,False,0.0,6.7
cus_1031,Starter,29,2024-04-07,2025-06-27,True,2.0,2.2
cus_1032,Starter,29,2023-10-24,,False,0.0,6.2
